attr1,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,class
1.0,1.0,0.31081000000000003,0.824325,0.64865,0.824325,0.37838,0.93243,0.594595,1.0,0.364865,0.7567550000000001,0.5,0.81081,0.472975,0.66216,0.39189,0.859165,0.41167,0.81081,0.527025,0.8783799999999999,0.56757,0.675675,0.35135,0.8051550000000001,0.389185,0.7923899999999999,0.384865,0.864865,0.20270500000000002,0.7567550000000001,0.37838,1
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0
1.0,1.0,0.42623,1.0,0.52459,0.7868850000000001,0.491805,0.82787,0.508195,0.92623,0.483605,0.860655,0.5,0.84426,0.418035,0.59836,0.42623,0.82779,0.41412,0.8360650000000001,0.516395,1.0,0.35246,0.65574,0.32787,0.761925,0.39837500000000003,0.6639349999999999,0.483605,0.639345,0.27869,0.7459,0.467215,0
1.0,0.835325,0.51264,0.8331299999999999,0.525155,0.7859849999999999,0.593805,0.54388,0.670405,0.8181050000000001,0.560655,0.810495,0.571425,0.893185,0.55488,0.791865,0.590755,0.571975,0.70612,0.76944,0.60663,0.7571,0.613125,0.74419,0.61862,0.730835,0.62309,0.717165,0.62653,0.703315,0.62896,1.0,0.66518,1
1.0,0.9873350000000001,0.56541,0.9706,0.60018,0.9439150000000001,0.66124,0.945045,0.663555,0.9277500000000001,0.726085,0.86149,0.76142,0.84973,0.7941,0.79274,0.834465,0.744345,0.85199,0.721225,0.840795,0.676445,0.87811,0.6341600000000001,0.88105,0.5840650000000001,0.8927050000000001,0.537485,0.9021950000000001,0.48519,0.88851,0.448555,0.87121,1
1.0,0.642045,0.34091,0.5,0.5,0.84091,0.0,0.65341,0.9791650000000001,0.82197,0.532195,0.67424,0.07576,0.5,0.5,0.795455,0.320075,0.72538,0.09659000000000001,0.5,0.5,0.5,0.5,0.62121,0.589015,1.0,0.38068,0.530305,0.257575,0.58144,0.14961999999999998,0.5,0.5,0
1.0,0.73969,0.438145,0.71392,0.438145,0.850515,0.304125,0.86598,0.53608,0.631445,0.391755,0.747425,0.579895,0.726805,0.44072,0.71134,0.53093,0.75,0.3634,0.7731950000000001,0.592785,0.71134,0.541235,0.8530949999999999,0.59794,0.76698,0.437765,0.57732,0.36855499999999997,0.737115,0.52062,0.726805,0.24226999999999999,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4908,1.0,0.0,1.0,1.0,1.0,0.07208500000000001,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.10429500000000003,1.0,1.0,1.0,1.0,0
1.0,0.66417,0.5126,0.57618,0.60639,0.574595,0.870015,0.37146999999999997,0.9616199999999999,0.44844,0.5969,0.19324000000000002,0.62893,0.02973500000000001,0.472955,0.434415,0.428355,0.348425,0.276925,0.442955,0.072015,0.51334,0.38607,0.63971,0.46852499999999997,0.668685,0.44062,0.638285,0.442955,0.57539,0.56648,0.560985,0.60234,1
1.0,0.926355,0.52713,1.0,0.540345,1.0,1.0,0.957365,0.496125,0.918605,0.51938,1.0,0.635765,1.0,1.0,0.906975,0.523255,0.95349,0.55814,1.0,0.75335,1.0,0.0,0.9031,0.51938,1.0,0.8580650000000001,0.92248,0.534885,1.0,0.936585,1.0,1.0,0
1.0,1.0,1.0,0.0,1.0,0.0,0.08772000000000002,0.673245,0.6052649999999999,0.7302649999999999,0.53509,0.614035,0.52851,0.67544,0.673245,0.864035,0.480265,0.614035,0.76535,0.5,0.5,0.350875,0.41886,1.0,0.166665,1.0,0.0,1.0,0.377195,0.67544,0.600875,0.9144749999999999,0.539475,0
